SYMBOL	N
RIMS2	16
RNF5	16
SEMA6A-AS1	16
SPTLC2	16
SYNE1	16
TPPP	16
TSC22D1	16
TTN-AS1	16
TVP23B	16
ZSWIM8	16
ADAMTS19	15
AHI1-DT	15
ANKRD36BP2	15
ANLN	15
ANO3	15
BTBD2	15
BTBD9	15
C11orf65	15
CCDC200	15
CRISPLD2	15
CSMD2	15
EFCAB13-DT	15
ENTREP2	15
FAF2	15
FAM85B	15
FHIP1A	15
FMNL2	15
GPLD1	15
KIAA0586	15
KIAA0930	15
KRT18P55	15
LINC00910	15
LINC02177	15
LINC02277	15
MED13L	15
NSUN6	15
NTNG1	15
PAN3	15
PDE10A	15
PEX13	15
PLCB1	15
PLD1	15
QRSL1	15
RALGAPB	15
RFX3	15
RNF144B	15
SAMMSON	15
SFSWAP	15
SLC33A2	15
SRR	15
SYT16	15
TCHP	15
TDRD7	15
TESHL	15
TP63	15
USP12	15
USPL1	15
VHL	15
WWOX	15
YIPF5	15
ZNF480	15
ABCA3	14
AOAH	14
BICC1	14
C14orf180	14
CACNA1B	14
CCBE1	14
CNTNAP4	14
COPB2-DT	14
DGKG	14
DOCK2	14
DSCR8	14
DYSF	14
EIF4G3	14
FBXL19	14
HLA-H	14
KIAA1328	14
KLHL3	14
LCA5	14
LINC01301	14
LINC01622	14
LINC02326	14
LINC02346	14
LINC02819	14
LNCBRM	14
LRP6	14
LRRN2	14
MARCHF1	14
MGA	14
MIR4280HG	14
NCMAP	14
NCOA2	14
NR3C2	14
NRM	14
PGPEP1L	14
POFUT3	14
RAD51B	14
RIMBP2	14
RNGTT	14
SBNO2	14
SETBP1	14
SH3TC2-DT	14
SLC2A12	14
SLC2A13	14
SLC5A11	14
SPRR2B	14
SYNPO	14
THUMPD1	14
TOP1	14
TUFT1	14
USP14	14
ZDHHC13	14
ADGRV1	13
ANKRD42	13
ASNSD1	13
ASTN1	13
ATXN1	13
C2orf68	13
CCNY-AS1	13
CD160	13
COA4	13
COX4I2	13
CSTF3	13
CYLD-AS1	13
EDIL3	13
GNAL	13
GPR19	13
HDAC9	13
HERC5	13
IPCEF1	13
KCNIP4	13
KRT23	13
LASP1	13
LINC00598	13
LRP1B	13
MAP4K5	13
METTL16	13
NR5A2	13
NRXN1	13
NRXN2	13
PEX14	13
PLEKHG1	13
PNMA2	13
PRKCA	13
PTN	13
PTPRN2	13
RBM33	13
RPIA	13
RTN4IP1	13
SHE	13
SPATA4	13
TTN	13
UHRF1	13
UTP15	13
VPS33B-DT	13
WNK2	13
ZNF85	13
ABCA5	12
AHCTF1	12
ARHGAP39	12
ARHGEF3	12
ATP10A	12
BAALC	12
CADPS	12
CAMK1D	12
CCDC117	12
CCDC60	12
CCNF	12
CD84	12
CFAP221	12
CLCN6	12
CLDN10	12
CST13P	12
CYP11B2	12
DMTN	12
ETS1	12
FAM174B	12
FOXJ3	12
FRY	12
GOLGA7B	12
GTF2F2	12
HECTD4	12
HLA-DRB6	12
IL1RL2	12
INCR1	12
IQCM	12
LINC00393	12
LINC00402	12
LINC01412	12
LINC01894	12
LRMDA	12
LRRC57	12
MRPS14	12
MTO1	12
MTPAP	12
NLRP12	12
PARP4	12
PCYOX1	12
PGM2L1	12
PIP4K2B	12
POLR1HASP	12
POU2F1	12
PRMT8	12
PRUNE2	12
RAB15	12
RNF214	12
SCFD2	12
SCN1A-AS1	12
SPSB1	12
TMEM178B	12
TMEM51-AS1	12
TMEM79	12
TMEM97	12
TNFSF4	12
TTBK2	12
UBR5	12
UGT1A6	12
ZMYND15	12
ZNF433-AS1	12
ACACA	11
ANXA13	11
ARAP2	11
ATP13A4	11
ATP6V0A4	11
ATP6V0E1	11
BBOF1	11
BFSP2-AS1	11
BMP7	11
C8orf34	11
CDK19	11
CRAT37	11
CSRNP3	11
CWC25	11
EFCAB6	11
FBXW10	11
FMOD	11
FRAS1	11
GFRA2	11
GHDC	11
HIVEP1	11
ITGA11	11
KLC3	11
LATS2	11
LINC01619	11
LINC02323	11
LYPD6	11
MBD6	11
MICA	11
MRPS12	11
NAB2	11
NDUFAF3	11
NMRAL2P	11
OXR1	11
PALLD	11
PARD3B	11
PITHD1	11
PPP2R2C	11
PRIM2	11
PRKAB1-AS1	11
PTPRO	11
RHOG	11
RNFT2	11
ROBO2	11
RREB1	11
SARM1	11
SERP2	11
SLAIN1	11
SLC17A1	11
SPNS2	11
SPSB4	11
TMEM19	11
TRIM36	11
UBE2E1	11
UBTD2	11
UVRAG-DT	11
VPS33A	11
WNT2	11
ZMYM4	11
ZNF496-DT	11
AGO2	10
AK5	10
ANKS1B	10
ARID3A	10
ARSG	10
ATF3	10
BORCS5	10
CALN1	10
CCDC158	10
CDH15	10
CENPP	10
CFAP210	10
CNTN6	10
CSMD3	10
DCLK1	10
DLGAP2	10
EEF1A1	10
EMX2OS	10
FAM21EP	10
FAM83A	10
FMO1-AS1	10
FSTL5	10
GLDN	10
GPR153	10
GRIN2A	10
GRM7	10
HLA-DRA	10
IDO2	10
KBTBD12	10
LINC01194	10
LINC01495	10
LINC01611	10
LINC01908	10
LINC02694	10
LINC02715	10
LINC02822	10
MAP3K14-AS1	10
MED23	10
MYOG	10
NCKAP5	10
NECTIN3-AS1	10
NLGN1	10
NLRC5	10
NRG2	10
PDGFC	10
PDZD8	10
PIK3R6	10
PLA2G2C	10
PNOC	10
PPP1R9A-AS1	10
PRDM1	10
PRTFDC1	10
PUS3	10
RALGAPA2	10
RAPGEFL1	10
RNF150	10
SERPINB7	10
SH3GL1	10
SHANK2	10
SLC12A2	10
SNX29	10
SPAG16	10
SSTR5	10
TBC1D24	10
TIAM2	10
TNPO1-DT	10
TOX2	10
TSC22D2	10
UBASH3A	10
